epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,360.25,0.90888,0.68285,0.927,0.94915,0.94357,0.97614,0.75743,0.86735,0.51231,0.94192,0.000492673,0.000492673,0.000492673
66,365.408,0.8966,0.67455,0.92598,0.9353,0.94831,0.97244,0.74463,0.8992,0.51614,0.95116,0.000492152,0.000492152,0.000492152
67,370.376,0.91004,0.66559,0.93481,0.95765,0.93571,0.97552,0.75597,0.88669,0.49513,0.95135,0.000491631,0.000491631,0.000491631
68,376.617,0.90415,0.65165,0.92543,0.93105,0.94582,0.96953,0.74753,0.89727,0.51322,0.95278,0.00049111,0.00049111,0.00049111
69,381.559,0.93722,0.68047,0.94215,0.92982,0.9223,0.96489,0.72599,0.95793,0.5507,0.97017,0.00049059,0.00049059,0.00049059
70,386.479,0.91885,0.67376,0.94246,0.94783,0.94443,0.97595,0.75524,0.88603,0.5117,0.94893,0.000490069,0.000490069,0.000490069
71,392.707,0.90971,0.63436,0.92662,0.9613,0.94905,0.97744,0.74307,0.92334,0.49753,0.96885,0.000489548,0.000489548,0.000489548
72,397.841,0.88773,0.64699,0.9329,0.94729,0.94947,0.97643,0.75325,0.89288,0.49509,0.95381,0.000489027,0.000489027,0.000489027
73,403.987,0.88626,0.64848,0.93054,0.93771,0.93146,0.96788,0.74489,0.89807,0.52672,0.95702,0.000488507,0.000488507,0.000488507
74,408.99,0.88336,0.6417,0.92254,0.94009,0.9331,0.97454,0.74263,0.94351,0.51301,0.96401,0.000487986,0.000487986,0.000487986
75,413.802,0.90934,0.65441,0.9419,0.93853,0.95331,0.9731,0.74896,0.90561,0.50695,0.95979,0.000487465,0.000487465,0.000487465
76,418.706,0.89173,0.64437,0.93469,0.95716,0.92965,0.97315,0.73634,0.93335,0.50385,0.96967,0.000486945,0.000486945,0.000486945
77,425.011,0.89033,0.62847,0.91792,0.94308,0.94106,0.97186,0.7507,0.89342,0.49019,0.95835,0.000486424,0.000486424,0.000486424
78,429.928,0.90054,0.63093,0.9327,0.94141,0.93631,0.97059,0.74819,0.90336,0.50086,0.96277,0.000485903,0.000485903,0.000485903
